Objects,True Labels,Predicted Labels
J081815.33+162408.9.png,Artifact,Cigar-Shaped
J110602.51+305001.0.png,Artifact,Artifact
J114717.76+124048.7.png,Artifact,Artifact
J093747.60+273412.0.png,Artifact,Merging-Merger
J133723.71+243710.8.png,Artifact,Artifact
J164147.60+313332.2.png,Artifact,Artifact
J102212.46-015820.3.png,Artifact,Artifact
J083113.77+240333.2.png,Artifact,Artifact
J152831.41+180251.7.png,Artifact,Artifact
J161147.26+232447.5.png,Artifact,Artifact
J122139.93-005856.4.png,Artifact,Cigar-Shaped
J121545.49+092758.9.png,Artifact,Artifact
J095429.49-011716.9.png,Artifact,Artifact
J141444.20+185121.2.png,Artifact,Artifact
J124730.15+060945.4.png,Artifact,Artifact
J102825.27+154757.2.png,Artifact,Artifact
J114320.71+001320.0.png,Artifact,Artifact
J112451.35+112825.0.png,Artifact,Artifact
J084259.13+135054.7.png,Artifact,Artifact
J120130.96+220438.0.png,Artifact,Artifact
J170633.75+220331.3.png,Artifact,Artifact
J122240.94+083029.1.png,Artifact,Artifact
J153606.32+111108.3.png,Artifact,Artifact
J131247.88+040442.8.png,Artifact,Artifact
J093958.33-010130.0.png,Artifact,Artifact
J105447.22-013231.1.png,Artifact,Artifact
J141525.67+184520.2.png,Artifact,Merging-Merger
J210427.56-073703.3.png,Artifact,Artifact
J094645.26+114709.5.png,Artifact,Artifact
J124331.49-002842.9.png,Artifact,Artifact
J141357.25+130030.9.png,Artifact,Artifact
J144114.72+032645.6.png,Artifact,Artifact
J125944.56+281523.4.png,Artifact,Artifact
J152759.39+291139.0.png,Artifact,Artifact
J124909.10+140319.6.png,Artifact,Merging-Merger
J002147.52+000031.0.png,Artifact,Artifact
J125155.69+120456.9.png,Artifact,Merging-Merger
J124724.10+181437.4.png,Artifact,Artifact
J110855.66+134127.6.png,Artifact,Artifact
J144007.09+215613.2.png,Artifact,Artifact
J110646.62+145248.9.png,Cigar-Shaped,Cigar-Shaped
J080519.06+200752.9.png,Cigar-Shaped,Cigar-Shaped
J081712.83+152906.7.png,Cigar-Shaped,Cigar-Shaped
J124939.10-035123.0.png,Cigar-Shaped,Cigar-Shaped
J140519.75+100708.0.png,Cigar-Shaped,Cigar-Shaped
J121910.14+161534.1.png,Cigar-Shaped,Cigar-Shaped
J104953.08+190756.6.png,Cigar-Shaped,Cigar-Shaped
J094402.90+092227.3.png,Cigar-Shaped,Merging-Merger
J093115.94+043733.3.png,Cigar-Shaped,Merging-Merger
J000515.41-003834.9.png,Cigar-Shaped,Merging-Merger
J095948.76+140821.8.png,Cigar-Shaped,Merging-Merger
J124712.81-005123.4.png,Cigar-Shaped,Cigar-Shaped
J133735.84+033621.9.png,Cigar-Shaped,Cigar-Shaped
J134936.24+252611.6.png,Cigar-Shaped,Cigar-Shaped
J144102.80+031731.6.png,Cigar-Shaped,Cigar-Shaped
J121547.42+142224.3.png,Cigar-Shaped,Cigar-Shaped
J215601.54+002946.1.png,Cigar-Shaped,Cigar-Shaped
J101302.50-005348.9.png,Cigar-Shaped,Artifact
J093401.51+044718.8.png,Cigar-Shaped,Cigar-Shaped
J115620.24+124539.2.png,Cigar-Shaped,Cigar-Shaped
J160059.98+181822.3.png,Cigar-Shaped,Cigar-Shaped
J010456.22+000127.7.png,Cigar-Shaped,Merging-Merger
J114741.65+253159.8.png,Cigar-Shaped,Cigar-Shaped
J160742.50+145213.4.png,Cigar-Shaped,Cigar-Shaped
J110414.39-032458.9.png,Cigar-Shaped,Cigar-Shaped
J142428.20+243633.6.png,Cigar-Shaped,Cigar-Shaped
J161549.08-001823.6.png,Cigar-Shaped,Cigar-Shaped
J093233.30+180813.5.png,Cigar-Shaped,Cigar-Shaped
J140216.62+055312.4.png,Cigar-Shaped,Cigar-Shaped
J130749.27+054009.2.png,Cigar-Shaped,Artifact
J140436.81+072647.4.png,Cigar-Shaped,Artifact
J112848.58+320536.4.png,Cigar-Shaped,Artifact
J132255.66+052932.7.png,Cigar-Shaped,Cigar-Shaped
J132743.76+002342.9.png,Cigar-Shaped,Cigar-Shaped
J112929.35+221606.6.png,Cigar-Shaped,Artifact
J131813.45+013933.4.png,Cigar-Shaped,Cigar-Shaped
J203902.34+001532.3.png,Cigar-Shaped,Cigar-Shaped
J100719.80+060608.9.png,Cigar-Shaped,Merging-Merger
J121003.09+035917.5.png,Cigar-Shaped,Cigar-Shaped
J130105.30+154508.0.png,Cigar-Shaped,Artifact
J130050.99+275143.9.png,Merging-Merger,Artifact
J120144.41+035537.4.png,Merging-Merger,Artifact
J143458.31+213124.2.png,Merging-Merger,Artifact
J084520.80+291801.0.png,Merging-Merger,Artifact
J013910.00-034507.9.png,Merging-Merger,Artifact
J123548.55-005849.8.png,Merging-Merger,Artifact
J111600.00+082537.5.png,Merging-Merger,Spiral-Arms-Yes
J113749.29+215403.0.png,Merging-Merger,Artifact
J012559.10-012024.9.png,Merging-Merger,Artifact
J091409.21+333213.0.png,Merging-Merger,Merging-Merger
J222821.82+163559.5.png,Merging-Merger,Spiral-Arms-Yes
J222347.76+045114.1.png,Merging-Merger,Artifact
J151252.03+073032.4.png,Merging-Merger,Cigar-Shaped
J113441.49-013738.0.png,Merging-Merger,Artifact
J090832.60+211210.3.png,Merging-Merger,Cigar-Shaped
J115503.24+225724.5.png,Merging-Merger,Merging-Merger
J234642.33+005455.6.png,Merging-Merger,Artifact
J171002.18+234536.0.png,Merging-Merger,Artifact
J081547.44+173444.4.png,Merging-Merger,Merging-Merger
J012017.90-025717.8.png,Merging-Merger,Artifact
J013652.40-062651.0.png,Merging-Merger,Artifact
J113937.64+081039.7.png,Merging-Merger,Cigar-Shaped
J082929.53+142253.1.png,Merging-Merger,Artifact
J090613.25+143653.1.png,Merging-Merger,Artifact
J093020.86+032019.3.png,Merging-Merger,Artifact
J152004.07+230616.6.png,Merging-Merger,Cigar-Shaped
J141230.71+163958.1.png,Merging-Merger,Cigar-Shaped
J021727.05-105443.4.png,Merging-Merger,Artifact
J015219.94-071205.0.png,Merging-Merger,Artifact
J100359.12+155830.1.png,Merging-Merger,Artifact
J153020.86+321023.5.png,Merging-Merger,Artifact
J014248.56-085023.6.png,Merging-Merger,Cigar-Shaped
J002619.79-014607.3.png,Merging-Merger,Artifact
J144820.93+081621.5.png,Merging-Merger,Merging-Merger
J111512.89+292123.0.png,Merging-Merger,Artifact
J131451.60-003834.2.png,Merging-Merger,Artifact
J125931.04+084057.9.png,Merging-Merger,Artifact
J140606.76+242052.9.png,Merging-Merger,Artifact
J145904.32+212129.6.png,Merging-Merger,Artifact
J080122.13+152028.1.png,Merging-Merger,Artifact
J090248.56+085642.3.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J114036.96+140142.9.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J144054.80+240153.1.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J113129.48+042326.4.png,Spiral-Arms-Yes,Merging-Merger
J135632.16+211459.2.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J121257.15+212536.9.png,Spiral-Arms-Yes,Artifact
J161021.53+035638.3.png,Spiral-Arms-Yes,Artifact
J093801.27+121424.8.png,Spiral-Arms-Yes,Artifact
J125418.67+082958.0.png,Spiral-Arms-Yes,Merging-Merger
J130029.93+023123.6.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J013527.84-004447.9.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J134918.34+084000.4.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J120347.58+101728.2.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J125004.29-040015.9.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J153125.53+081836.5.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J131207.98-024805.1.png,Spiral-Arms-Yes,Cigar-Shaped
J102945.48+035236.7.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J093022.52+035103.1.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J114559.49-014257.9.png,Spiral-Arms-Yes,Cigar-Shaped
J124656.63+043849.8.png,Spiral-Arms-Yes,Merging-Merger
J143034.11+002026.7.png,Spiral-Arms-Yes,Artifact
J022011.16+000916.1.png,Spiral-Arms-Yes,Artifact
J125621.73+110953.0.png,Spiral-Arms-Yes,Artifact
J130046.12+085458.1.png,Spiral-Arms-Yes,Cigar-Shaped
J012417.80+022120.0.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J122904.49+241225.3.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J124918.50-023240.1.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J143025.50+293405.5.png,Spiral-Arms-Yes,Artifact
J121454.39+132800.9.png,Spiral-Arms-Yes,Merging-Merger
J091331.80+193959.0.png,Spiral-Arms-Yes,Artifact
J110420.15+102116.7.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J150938.02+253706.3.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J120228.09+144608.3.png,Spiral-Arms-Yes,Merging-Merger
J142943.19+011543.7.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J141023.21+184917.2.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J123126.35-005606.9.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J130646.42+134258.4.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J130505.48+241611.9.png,Spiral-Arms-Yes,Artifact
J103539.95+154635.7.png,Spiral-Arms-Yes,Merging-Merger
J094507.96+140729.1.png,Spiral-Arms-Yes,Spiral-Arms-Yes
